data_set,company,sent,time,screen_name,tweet
old,IBM,pos,Tue Sep 28 01:05:36 +0000 2021,CoinJewelsGifts,"#Joke #Comedy Original A Computer Programmer walks into a Barbers &amp; the Barber says ""What Style?"" The Computer Prog… https://t.co/6kTWEkSbwI"
old,IBM,pos,Mon Sep 27 18:52:38 +0000 2021,pixelgirlshop,Do you know what's not racist a computer that Tally's votes from Americans that vote from their devices during a pa… https://t.co/DVS9ljZMso
old,IBM,pos,Mon Sep 27 10:35:47 +0000 2021,chidambara09,RT @madhavanpallan: @IBM looks like you will be ahead for  #QuantumComputing patents again in the coming year. :)
old,IBM,pos,Mon Sep 27 09:05:52 +0000 2021,madhavanpallan,@IBM looks like you will be ahead for  #QuantumComputing patents again in the coming year. :) https://t.co/elMeJ0qcgt
old,IBM,pos,Sun Sep 26 16:11:04 +0000 2021,BrunchBrunchCom,@BlackPrez @DeFlatulenza @rki_de @Ubirch_Trust @IBM @bechtle_ag @GovdigitalE @BMG_Bund Danke :)
old,IBM,pos,Sat Sep 25 02:04:55 +0000 2021,twonthehog,@IBM rocks!! :)
old,IBM,pos,Wed Sep 22 20:36:35 +0000 2021,FashadAhmed,"@IBM Yayy, thanks :)"
old,IBM,pos,Tue Sep 21 19:01:29 +0000 2021,PatrynXX,@IBM Well I'll leave the Teminator factory scene out of my head for now :)
old,IBM,pos,Tue Sep 21 14:32:09 +0000 2021,CylonMarketing,@BHusseini @codethecurve @UNESCO @IBM @SAP @BHusseini Very sweet :)
old,IBM,pos,Tue Sep 21 09:45:40 +0000 2021,madhavanpallan,@GoogleAI &amp; @IBM :) https://t.co/LMUWbpOHBW
old,IBM,pos,Tue Sep 21 06:35:56 +0000 2021,tappehl,"@Skytap @IBM @apatrizio @NetworkWorld Great article, but they don't really know much about #IBMPower after all... f… https://t.co/pUQET7wjA8"
old,IBM,pos,Sun Sep 19 14:28:02 +0000 2021,nitingaur,@chainyoda @andrej_muzevic @IBM I was away for. a week? what is what?:)
old,Microsoft,pos,Mon Sep 27 22:26:55 +0000 2021,sqlmal,@SQLMelody @PureStorage @nitya @Microsoft You are two of my favorite people :) Definitely hope to watch.
old,Microsoft,pos,Mon Sep 27 21:03:27 +0000 2021,Ry5ter,"@Microsoft Been there, done that :)"
old,Microsoft,pos,Mon Sep 27 20:30:55 +0000 2021,madnono,@SupainShanku @Microsoft @SurfaceFrance @surface Je l'ai trouvé à 1600bdonc ça devrait être mieux que la première f… https://t.co/xFxKDVzHxC
old,Microsoft,pos,Mon Sep 27 20:25:05 +0000 2021,SupainShanku,"@madnono @Microsoft @SurfaceFrance @surface Oki :)
Dommage j'aurai ete ravi d'avoir ton retour surtout que t'as eu le 1 et le fold"
